,Player,Pos,TRB,PTS,2015-16,sal_norm
0,Andre Drummond,C,18.8,18.7,3272091.0,12.281258418794067
1,Dwight Howard,C,15.1,20.9,22359364.0,101.0
2,DeAndre Jordan,C,14.9,11.4,19500000.0,87.70951184055453
3,Enes Kanter,C,14.8,20.6,16400000.0,73.30053372714156
4,DeMarcus Cousins,PF,14.7,28.5,14728844.0,65.53290462130323
5,Thomas Robinson,PF,14.5,10.2,981300.0,1.6335302312445767
6,Tyson Chandler,C,14.0,9.0,13000000.0,57.49713837694668
7,Hassan Whiteside,C,13.9,18.7,981348.0,1.633753338002462
8,Alex Len,C,13.6,16.1,3807120.0,14.768103951388012
9,Zaza Pachulia,C,13.6,14.2,5200000.0,21.242290220617257
10,Tristan Thompson,PF,13.6,11.5,14260870.0,63.357734581417326
11,Bismack Biyombo,C,13.3,10.2,3000000.0,11.016563817549986
12,Drew Gooden,PF,13.3,7.9,3300000.0,12.410981054331888
13,Tarik Black,C,13.2,12.2,845059.0,1.0002742353899003
14,Jared Sullinger,PF,13.2,19.4,2269260.0,7.620042312196633
15,Kenneth Faried,PF,13.0,18.0,11235955.0,49.297755862083584
16,Ed Davis,PF,12.9,9.3,7000000.0,29.60879364130866
17,Karl-Anthony Towns,C,12.9,19.9,5703600.0,23.583051955428477
18,Rudy Gobert,C,12.8,9.4,1175880.0,2.5379492510213177
19,Kevin Love,PF,12.8,18.7,19500000.0,87.70951184055453
20,Dwight Powell,PF,12.7,18.4,845059.0,1.0002742353899003
21,Clint Capela,C,12.5,16.4,1242720.0,2.848625411376325
22,Tim Duncan,C,12.5,14.2,5000000.0,20.312678729429326
23,Joakim Noah,C,12.5,4.2,13400000.0,59.35636135932254
24,Kristaps Porzingis,PF,12.5,17.8,4131720.0,16.276863401586027
25,Marreese Speights,PF,12.5,18.0,3815000.0,14.804730644140816
26,Jonas Valanciunas,C,12.5,18.8,4660482.0,18.7345795581036
27,Jordan Hill,PF,12.1,12.7,4000000.0,15.664621273489656
28,Kevin Garnett,PF,12.0,5.4,8500000.0,36.58087982521817
29,Joffrey Lauvergne,C,12.0,20.2,1709720.0,5.019268243300151
30,Kyle O'Quinn,PF,11.9,14.2,3750000.0,14.502606909504738
31,J.J. Hickson,C,11.7,20.2,5613500.0,23.164261978648312
32,Luis Scola,PF,11.6,12.6,3000000.0,11.016563817549986
33,Festus Ezeli,C,11.3,17.7,2008748.0,6.409167568234878
34,JaMychal Green,PF,11.3,14.7,845059.0,1.0002742353899003
35,LaMarcus Aldridge,PF,11.2,18.5,19500000.0,87.70951184055453
36,Chris Bosh,PF,11.1,20.5,22192730.0,100.22547559388696
37,Jon Leuer,PF,11.0,15.0,1035000.0,1.883130916628537
38,Josh Smith,PF,10.9,12.0,5400000.0,22.17190171180519
39,Josh Smith,PF,10.9,12.0,1499000.0,4.039829576184543
40,Dewayne Dedmon,C,10.8,10.3,947278.0,1.4753940204785976
41,Derrick Favors,PF,10.8,18.0,11933333.0,52.53920887459188
42,Nerlens Noel,PF,10.8,13.5,3457800.0,13.144444520879167
43,Anderson Varejao,C,10.8,7.2,9638554.0,41.8729442339081
44,Pau Gasol,C,10.7,16.5,7448760.0,31.694655905236147
45,David Lee,PF,10.7,13.3,15493680.0,69.08790629367431
46,Aron Baynes,C,10.6,11.1,6500000.0,27.28476491333883
47,Alexis Ajinca,C,10.5,13.6,4300000.0,17.059038510271556
48,Amir Johnson,PF,10.5,13.0,12000000.0,52.84908092100701
49,Kosta Koufos,PF,10.5,12.1,7500000.0,31.932822369278497
50,Mason Plumlee,C,10.4,13.6,1415520.0,3.6518097397627
