Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jordan Mickey,PF,21,BOS,2,0,5,7.2,14.4,.500,0.0,0.0,,7.2,14.4,.500,21.6,21.6,1.000,14.4,7.2,21.6,7.2,0.0,7.2,0.0,7.2,36.0
2,Andre Drummond,C,22,DET,7,7,262,7.8,14.7,.533,0.0,0.0,,7.8,14.7,.533,3.0,7.4,.407,6.6,12.2,18.8,0.8,1.8,1.8,2.3,3.2,18.7
3,Robert Sacre,C,26,LAL,1,0,4,9.0,27.0,.333,0.0,0.0,,9.0,27.0,.333,0.0,0.0,,9.0,9.0,18.0,0.0,0.0,0.0,9.0,0.0,18.0
4,Jarnell Stokes,F-C,22,MEM,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Walter Tavares,C,23,ATL,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,18.0,36.0,.500,18.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0
6,Boban Marjanovic,C,27,SAS,4,0,13,11.1,24.9,.444,0.0,0.0,,11.1,24.9,.444,8.3,11.1,.750,11.1,5.5,16.6,2.8,0.0,0.0,5.5,8.3,30.5
7,Dwight Howard,C,30,HOU,4,4,117,8.6,13.5,.636,0.0,0.0,,8.6,13.5,.636,3.7,6.5,.571,5.8,9.2,15.1,2.2,0.9,1.8,4.0,4.9,20.9
8,DeJuan Blair,C,26,WAS,3,0,29,2.5,12.4,.200,0.0,0.0,,2.5,12.4,.200,0.0,0.0,,7.4,7.4,14.9,0.0,2.5,0.0,7.4,16.1,5.0
9,DeAndre Jordan,C,27,LAC,7,7,224,4.7,6.1,.763,0.0,0.0,,4.7,6.1,.763,2.1,6.1,.342,3.2,11.7,14.9,1.3,0.3,4.3,1.8,3.4,11.4
10,Enes Kanter,C,23,OKC,8,0,173,8.9,15.6,.573,0.2,0.2,1.000,8.7,15.4,.568,2.5,2.9,.857,5.4,9.4,14.8,1.7,0.0,0.8,2.9,5.0,20.6
11,DeMarcus Cousins,PF,25,SAC,4,4,110,8.5,22.9,.371,1.3,4.6,.286,7.2,18.3,.393,10.1,13.7,.738,3.9,10.8,14.7,3.3,1.0,1.3,4.6,4.6,28.5
12,Thomas Robinson,PF,24,BRK,7,0,92,4.3,7.8,.550,0.0,0.0,,4.3,7.8,.550,1.6,3.5,.444,4.3,10.2,14.5,1.2,1.2,2.0,3.1,3.1,10.2
13,Udonis Haslem,PF,35,MIA,3,0,15,7.2,12.0,.600,0.0,2.4,.000,7.2,9.6,.750,0.0,0.0,,0.0,14.4,14.4,2.4,2.4,0.0,2.4,4.8,14.4
14,Tyson Chandler,C,33,PHO,7,7,196,2.9,6.1,.485,0.0,0.2,.000,2.9,5.9,.500,3.1,4.6,.680,4.0,9.9,14.0,0.7,1.1,0.7,1.7,3.5,9.0
15,Hassan Whiteside,C,26,MIA,8,8,235,8.3,12.9,.643,0.0,0.0,,8.3,12.9,.643,2.1,3.5,.609,3.4,10.6,13.9,0.5,0.8,4.7,2.8,2.5,18.7
16,Alex Len,C,22,PHO,7,0,103,5.6,12.6,.444,0.0,0.0,,5.6,12.6,.444,4.9,6.6,.737,4.5,9.1,13.6,0.7,1.7,0.7,4.9,4.2,16.1
17,Zaza Pachulia,C,31,DAL,7,7,175,3.9,10.1,.388,0.0,0.0,,3.9,10.1,.388,6.4,7.0,.912,4.7,8.8,13.6,1.9,1.4,0.6,2.1,3.5,14.2
18,Tristan Thompson,PF,24,CLE,8,0,204,4.8,7.4,.643,0.0,0.0,,4.8,7.4,.643,1.9,3.4,.579,3.5,10.1,13.6,0.9,0.5,1.4,0.9,3.4,11.5
19,Bismack Biyombo,C,23,TOR,8,0,130,3.6,9.1,.394,0.0,0.0,,3.6,9.1,.394,3.0,4.7,.647,5.8,7.5,13.3,0.6,0.6,2.2,1.9,6.9,10.2
20,Andrew Bogut,C,31,GSW,2,1,38,9.5,12.3,.769,0.0,0.0,,9.5,12.3,.769,0.0,0.0,,5.7,7.6,13.3,6.6,0.0,1.9,0.9,4.7,18.9
21,Drew Gooden,PF,34,WAS,5,0,73,3.0,12.3,.240,1.0,4.9,.200,2.0,7.4,.267,1.0,1.0,1.000,5.4,7.9,13.3,1.5,1.5,2.0,1.0,3.0,7.9
22,Tarik Black,C,24,LAL,5,0,71,4.6,8.1,.563,0.0,0.0,,4.6,8.1,.563,3.0,6.1,.500,3.0,10.1,13.2,0.5,0.5,0.5,2.5,8.6,12.2
23,Jared Sullinger,PF,23,BOS,6,3,128,8.4,15.8,.536,2.0,4.2,.467,6.5,11.5,.561,0.6,0.8,.667,5.1,8.2,13.2,3.7,2.0,2.0,1.7,5.3,19.4
24,Kenneth Faried,PF,26,DEN,7,7,194,7.6,12.8,.594,0.0,0.0,,7.6,12.8,.594,2.8,4.6,.600,4.5,8.5,13.0,1.5,0.6,1.1,2.2,3.2,18.0
25,Ed Davis,PF,26,POR,8,0,167,3.4,5.8,.593,0.0,0.0,,3.4,5.8,.593,2.4,5.2,.458,3.4,9.5,12.9,1.5,1.1,1.1,1.3,5.2,9.3
26,Karl-Anthony Towns,C,20,MIN,7,7,203,8.0,16.3,.489,0.2,0.7,.250,7.8,15.6,.500,3.7,4.1,.913,3.0,9.9,12.9,1.6,0.4,3.7,2.1,4.4,19.9
27,Rudy Gobert,C,23,UTA,7,7,234,3.7,7.5,.490,0.0,0.0,,3.7,7.5,.490,2.0,3.7,.542,4.0,8.8,12.8,2.2,0.6,3.4,2.3,3.1,9.4
28,Kevin Love,PF,27,CLE,8,8,271,6.6,16.3,.407,2.4,7.6,.316,4.3,8.8,.485,3.1,3.2,.958,3.5,9.3,12.8,2.9,0.5,0.8,2.3,1.7,18.7
29,Jason Thompson,C,29,GSW,4,0,31,5.8,10.5,.556,0.0,0.0,,5.8,10.5,.556,0.0,0.0,,3.5,9.3,12.8,2.3,2.3,1.2,3.5,5.8,11.6
30,Dwight Powell,PF,24,DAL,7,0,153,7.8,14.6,.532,0.0,0.0,,7.8,14.6,.532,2.8,5.2,.545,2.8,9.9,12.7,2.1,0.7,1.2,0.9,5.4,18.4
31,Brandon Rush,SG,30,GSW,5,0,34,3.2,12.7,.250,1.1,5.3,.200,2.1,7.4,.286,2.1,4.2,.500,1.1,11.6,12.7,3.2,1.1,0.0,2.1,1.1,9.5
32,Clint Capela,C,21,HOU,7,3,132,7.4,9.3,.794,0.0,0.0,,7.4,9.3,.794,1.6,2.7,.600,4.1,8.5,12.5,1.1,1.1,3.5,1.9,5.5,16.4
33,Tim Duncan,C,39,SAS,7,7,193,5.0,9.7,.519,0.0,0.2,.000,5.0,9.5,.529,4.1,5.0,.815,2.4,10.1,12.5,3.9,0.6,1.1,3.2,3.9,14.2
34,Joakim Noah,C,30,CHI,7,0,144,1.7,5.5,.318,0.0,0.0,,1.7,5.5,.318,0.7,2.5,.300,3.7,8.7,12.5,6.2,1.2,1.2,3.7,5.2,4.2
35,Kristaps Porzingis,PF,20,NYK,8,8,190,6.3,16.5,.379,0.9,4.4,.217,5.3,12.1,.438,4.4,5.3,.821,5.3,7.2,12.5,1.1,1.7,1.7,2.7,6.1,17.8
36,Marreese Speights,PF,28,GSW,8,0,92,6.7,19.6,.340,0.4,1.2,.333,6.3,18.4,.340,4.3,5.5,.786,4.3,8.2,12.5,2.0,0.8,1.6,2.7,5.1,18.0
